ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Kingdom (BS)	Phylum (BS)	Class (BS)	Order (BS)	Family (BS)	Genus (BS)	Species (BS)
Seq_1852	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA	100	100	100	100	100	47	47
Seq_1853	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc PCC-73102	NA	100	100	100	100	100	68	37
Seq_1854	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Demequinaceae	Demequina	NA	100	100	100	100	69	61	60
Seq_1855	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA	100	100	100	100	100	100	100
Seq_1856	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA	NA	100	88	88	88	65	65	65
Seq_1857	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerococcus	NA	NA	100	100	100	100	100	100	100
Seq_1858	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100	11
Seq_1859	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	massiliense	100	100	100	100	100	100	91
Seq_1860	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Rhodocytophaga	NA	100	100	100	100	100	96	95
Seq_1861	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA	100	100	100	100	100	100	4
Seq_1862	Bacteria	Proteobacteria	Gammaproteobacteria	R7C24	NA	NA	NA	100	100	100	100	100	100	100
Seq_1863	Bacteria	Firmicutes	Bacilli	Thermicanales	Thermicanaceae	Thermicanus	NA	100	100	100	100	100	100	52
Seq_1864	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Psychrobacillus	psychrodurans	100	100	100	100	98	98	84
Seq_1865	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Rickettsiella	NA	100	100	100	100	100	100	100
Seq_1866	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	geothermalis	100	100	100	100	100	100	100
Seq_1867	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Parviterribacter	NA	100	100	100	100	98	75	74
Seq_1868	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	100	100	100	100	100	100	100
Seq_1869	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	NA	NA	NA	100	74	73	69	42	42	40
Seq_1870	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Frigoribacterium	NA	100	100	100	100	100	60	60
Seq_1871	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	100	100	100	100	100	26
Seq_1872	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA	100	100	100	100	93	93	92
Seq_1873	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	NA	NA	100	100	100	100	81	79	79
Seq_1874	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	mucosa	100	100	100	100	100	100	72
Seq_1875	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Cnuella	NA	100	100	100	100	100	100	100
Seq_1876	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA	100	100	100	100	99	71	53
Seq_1877	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	100	100	100	100	100	100	100
Seq_1878	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100	44
Seq_1879	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermacoccaceae	Kytococcus	NA	100	100	100	100	95	95	87
Seq_1880	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	NA	NA	100	100	99	99	99	98	98
Seq_1881	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	NA	100	100	100	100	100	55	51
Seq_1882	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	100	100	100	100	100	100	10
Seq_1883	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	NA	100	100	100	100	100	80	80
Seq_1884	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	thermophilum	100	100	100	100	100	100	96
Seq_1885	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	100	100	100	100	100	98	36
Seq_1886	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	haemolyticus	100	100	100	100	100	100	72
Seq_1887	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	100	100	100	100	100	100	98
Seq_1888	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	NA	NA	100	100	100	90	90	32	32
Seq_1889	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora	NA	100	100	100	100	100	100	100
Seq_1890	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA	100	100	100	100	89	47	47
Seq_1891	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinimicrobium	NA	100	100	100	100	92	91	90
Seq_1892	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA	NA	100	99	98	77	77	71	71
Seq_1893	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Caenimonas	NA	100	100	100	100	100	96	96
Seq_1894	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	100	100	100	100	100	100	100
Seq_1895	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	100	100	100	100	100	100	100
Seq_1896	Bacteria	Myxococcota	bacteriap25	NA	NA	NA	NA	100	95	95	95	95	95	95
Seq_1897	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	98	97	97
Seq_1898	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	luteus	100	100	100	100	100	100	77
Seq_1899	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA	100	100	100	100	100	77	77
Seq_1900	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	NA	100	100	100	100	100	98	61
Seq_1901	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100	39
Seq_1902	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	NA	NA	100	100	100	100	100	36	29
Seq_1903	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Caenimonas	NA	100	100	100	100	100	90	90
Seq_1904	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	henricii	100	100	100	100	100	100	56
Seq_1905	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Jeotgalicoccus	psychrophilus	100	100	100	100	100	96	51
Seq_1906	Bacteria	Proteobacteria	Gammaproteobacteria	PLTA13	NA	NA	NA	100	100	100	100	100	100	100
Seq_1907	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	CR-115	NA	NA	100	100	100	92	69	69	69
Seq_1908	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	NA	100	100	100	100	100	89	65
Seq_1909	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	Thermomicrobiaceae	Sphaerobacter	NA	100	100	100	100	100	73	67
Seq_1910	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	NA	NA	100	100	100	100	100	98	98
Seq_1911	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	100	100	100	99	99	70	46
Seq_1912	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	NA	100	100	100	100	100	100	100
Seq_1913	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	NA	NA	NA	100	100	100	95	69	69	69
Seq_1914	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	35	35	35	35
Seq_1915	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	YC-ZSS-LKJ147	NA	100	100	100	100	100	100	100
Seq_1916	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	100	100	100	100	100	99	8
Seq_1917	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	99	98	98	98	98
Seq_1918	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA	100	100	100	100	100	100	81
Seq_1919	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	cellulans	100	100	100	100	100	99	99
Seq_1920	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	yunnanensis	100	100	100	100	100	70	50
Seq_1921	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	100	100	100	100	62	62	62
Seq_1922	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	NA	NA	100	100	100	97	71	29	29
Seq_1923	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria Incertae Sedis	Unknown Family	Leptolyngbya EcFYyyy-00	NA	100	100	100	100	100	100	98
Seq_1924	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter	NA	100	100	100	100	100	100	100
Seq_1925	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	NA	NA	100	100	100	100	100	100	100
Seq_1926	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	steynii	100	100	100	100	100	100	86
Seq_1927	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA	100	100	100	100	100	100	100
Seq_1928	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	NA	100	100	100	100	100	100	100
Seq_1929	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	GTL1	NA	100	94	94	94	51	51	51
Seq_1930	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	NA	NA	100	100	100	100	100	100	100
Seq_1931	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	NA	NA	100	100	100	100	100	100	100
Seq_1932	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	NA	NA	100	100	100	100	88	87	87
Seq_1933	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA	NA	100	100	100	100	100	100	100
Seq_1934	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	chelatiphaga	100	100	100	100	100	99	73
Seq_1935	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	NA	100	100	100	100	100	100	100
Seq_1936	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Parviterribacter	NA	100	100	100	100	100	100	100
Seq_1937	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter	NA	100	100	100	100	100	100	100
Seq_1938	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	NA	NA	NA	100	100	100	100	100	100	100
Seq_1939	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiales Incertae Sedis	Motilibacter	NA	100	100	100	100	100	100	100
Seq_1940	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter	NA	100	100	100	100	100	81	81
Seq_1941	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	NA	100	97	96	91	91	91	91
Seq_1942	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	NA	100	100	100	100	100	100	35
Seq_1943	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	YC-ZSS-LKJ147	NA	100	100	100	100	100	99	99
Seq_1944	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	100	100	100	100	100	95	18
Seq_1945	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	NA	100	100	100	100	100	98	46
Seq_1946	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	NA	100	100	100	100	100	99	99
Seq_1947	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Arcticibacter	NA	100	100	100	100	100	89	89
Seq_1948	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA	100	100	100	100	100	100	100
Seq_1949	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	NA	100	100	100	91	91	55	19
Seq_1950	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera	NA	100	100	100	100	100	100	100
Seq_1951	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	equorum	100	100	100	100	100	100	67
Seq_1952	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	wooponensis	100	100	100	100	100	96	55
Seq_1953	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	NA	NA	100	100	100	100	100	61	61
Seq_1954	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	100	99	99	85	85	85	85
Seq_1955	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	NA	100	100	100	100	100	87	87
Seq_1956	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	NA	NA	100	100	100	98	94	94	94
Seq_1957	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	NA	NA	100	100	100	100	100	100	100
Seq_1958	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	polyaromaticivorans	100	100	100	100	100	93	56
Seq_1959	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA	100	100	100	100	100	42	29
Seq_1960	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	humi	100	100	100	100	100	100	55
Seq_1961	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	100	100	100	100	100	99	11
Seq_1962	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buttiauxella	NA	100	100	100	75	52	50	50
Seq_1963	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	100	100	100	100	99	94	10
Seq_1964	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	NA	100	100	100	100	100	100	100
Seq_1965	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	NA	NA	100	87	54	54	54	53	53
Seq_1966	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA	100	100	100	100	100	100	100
Seq_1967	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	NA	100	100	100	100	100	100	53
Seq_1968	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	jeikeium	100	100	100	100	100	100	80
Seq_1969	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA	100	100	100	99	99	99	99
Seq_1970	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	astaxanthinifaciens	100	100	100	100	100	100	62
Seq_1971	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	jeotgali	100	100	100	100	100	100	90
Seq_1972	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Sporocytophaga	NA	100	100	100	100	81	80	80
Seq_1973	Bacteria	Firmicutes	Bacilli	Thermicanales	Thermicanaceae	Thermicanus	NA	100	100	100	100	100	100	84
Seq_1974	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Janibacter	NA	100	100	100	100	100	53	33
Seq_1975	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	NA	NA	100	100	100	98	73	72	72
Seq_1976	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus	NA	100	100	100	100	100	99	99
Seq_1977	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA	100	94	85	85	85	85	85
Seq_1978	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	100	100	100	100	99	58	35
Seq_1979	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	NA	100	100	100	100	100	100	100
Seq_1980	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria Incertae Sedis	Unknown Family	Leptolyngbya EcFYyyy-00	NA	100	100	100	100	100	100	100
Seq_1981	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Tepidiphilus	NA	100	100	100	100	100	100	100
Seq_1982	Bacteria	Firmicutes	Bacilli	Thermicanales	Thermicanaceae	Thermicanus	NA	100	100	100	100	100	100	74
Seq_1983	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter	agri	100	100	100	100	100	96	75
Seq_1984	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	cecorum	100	100	100	100	100	100	98
Seq_1985	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA	100	100	100	100	100	56	56
Seq_1986	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	NA	100	100	100	100	98	98	98
Seq_1987	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100	41
Seq_1988	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	NA	NA	100	100	100	100	100	100	100
Seq_1989	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	100	35	35
Seq_1990	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azospira	oryzae	100	100	100	100	99	99	65
Seq_1991	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA	100	100	100	100	100	36	36
Seq_1992	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	100	100	100	100	100	100	100
Seq_1993	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA	100	97	97	97	97	97	97
Seq_1994	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	NA	NA	NA	100	100	100	100	97	97	97
Seq_1995	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	limicola	100	100	100	100	100	100	59
Seq_1996	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	YC-ZSS-LKJ147	NA	100	100	100	100	100	99	99
Seq_1997	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA	98	85	85	78	78	32	25
Seq_1998	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA	NA	100	97	97	97	88	88	88
Seq_1999	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Pontibacter	actiniarum	100	100	100	100	100	100	53
Seq_2000	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA	100	100	100	100	100	100	100
Seq_2001	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	luteus	100	100	100	100	100	99	60
Seq_2002	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella	sancticallisti	100	100	100	95	94	83	53
Seq_2003	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	NA	NA	NA	100	100	100	100	48	48	48
Seq_2004	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	NA	NA	100	100	100	100	91	58	58
Seq_2005	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Salinicoccus	NA	100	100	100	98	98	66	35
Seq_2006	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Chryseoglobus	NA	100	100	100	100	100	73	73
Seq_2007	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	100	100	100	100	100	100	100
Seq_2008	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA	NA	100	79	79	79	62	62	62
Seq_2009	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	kroppenstedtii	100	100	100	100	100	100	100
Seq_2010	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Psychroglaciecola	NA	100	100	100	100	100	56	55
Seq_2011	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	NA	100	100	100	100	100	100	91
Seq_2012	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	NA	100	100	100	100	100	100	99
Seq_2013	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	NA	NA	100	100	100	99	93	93	93
Seq_2014	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	100	100	100	100	100	61	61
Seq_2015	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA	100	100	100	100	100	100	95
Seq_2016	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	NA	100	100	100	100	100	100	45
Seq_2017	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	NA	NA	100	97	93	87	87	71	71
Seq_2018	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	NA	NA	100	100	100	100	100	100	100
Seq_2019	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	johnsonii	100	100	100	100	100	100	63
Seq_2020	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	NA	100	100	100	100	100	85	80
Seq_2021	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	NA	NA	100	100	100	100	100	100	100
Seq_2022	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Advenella	kashmirensis	100	100	100	100	100	93	73
Seq_2023	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	NA	100	100	100	100	100	98	42
Seq_2024	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100	44
Seq_2025	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA	100	100	100	100	100	97	97
Seq_2026	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus	NA	100	100	100	100	100	100	100
Seq_2027	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	albidoflavus	100	100	100	100	100	100	84
Seq_2028	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	YC-ZSS-LKJ147	NA	100	100	100	100	100	100	100
Seq_2029	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA	100	100	100	100	100	95	85
Seq_2030	Bacteria	Firmicutes	Bacilli	Thermicanales	Thermicanaceae	Thermicanus	NA	100	100	100	100	100	100	74
Seq_2031	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	buccalis	100	100	100	100	100	100	100
Seq_2032	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	NA	NA	100	100	100	95	93	93	93
Seq_2033	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Trichocoleus SAG 26.92	NA	100	100	100	100	100	100	100
Seq_2034	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	friuliensis	100	100	100	100	100	86	85
Seq_2035	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Xylophilus	NA	100	100	100	100	100	50	50
Seq_2036	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfitobacterium	NA	100	100	100	100	100	99	99
Seq_2037	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	100	100	100	100	100	100	49
Seq_2038	Bacteria	NA	NA	NA	NA	NA	NA	100	47	47	36	31	31	30
Seq_2039	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buttiauxella	NA	100	100	100	100	97	53	27
Seq_2040	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Chroococcidiopsis SAG 2023	NA	100	100	100	100	100	98	98
Seq_2041	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA	NA	99	98	98	97	96	96	96
Seq_2042	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptoniphilus	NA	NA	100	100	100	100	100	100	100
